genre,movie_title
Action,"Jonah Hex"
Action,"The Scorpion King"
Action,"Rambo III"
Action,"Central Intelligence"
Action,"3000 Miles to Graceland"
Action,"S.W.A.T."
Action,"Cop Out"
Action,"Get Carter"
Action,"Tango & Cash"
Action,"Hoodwinked!"
Action,"Dawn of the Planet of the Apes"
Action,"Nighthawks"
Action,"Die Hard with a Vengeance"
Action,"Clear and Present Danger"
Action,"After Earth"
Action,"The Order"
Action,"RoboCop"
Action,"The Bourne Supremacy"
Action,"RoboCop"
Action,"Walking Tall"
Action,"Operation Chromite"
Action,"Pandorum"
Action,"Hollywood Homicide"
Action,"Ghost Rider"
Action,"Kiss of Death"
Action,"Race to Witch Mountain"
Action,"Days of Thunder"
Action,"Live Free or Die Hard"
Action,"Fool's Gold"
Action,"Green Zone"
Action,"Jason Bourne"
Action,"National Treasure"
Action,"Star Wars: Episode VI - Return of the Jedi"
Action,"Hard Rain"
Action,"Minions"
Action,"Force 10 from Navarone"
Action,"Wolves"
Action,"Doom"
Action,"Star Wars: Episode IV - A New Hope"
Action,"You Don't Mess with the Zohan"
Action,"The Prophecy"
Action,"The Green Hornet"
Action,"The Sorcerer's Apprentice"
Action,"The Fugitive"
Action,"The Specialist"
Action,"The Bourne Identity"
Action,"Romeo Is Bleeding"
Action,"Rise of the Planet of the Apes"
Action,"Sahara"
Action,"Top Gun"
Action,"Bad Company"
Action,"Bad Boys II"
Action,"Superman"
Action,"Ender's Game"
Action,"Raiders of the Lost Ark"
Action,"Indiana Jones and the Last Crusade"
Action,"Sky Captain and the World of Tomorrow"
Action,"The Losers"
Action,"Free State of Jones"
Action,"Mission: Impossible"
Action,"Patriot Games"
Action,"Kung Fu Panda"
Action,"Knight and Day"
Action,"Six Days Seven Nights"
Action,"Scott Pilgrim vs. the World"
Action,"The Boondock Saints"
Action,"Edge of Tomorrow"
Action,"Star Wars: Episode V - The Empire Strikes Back"
Action,"Flyboys"
Action,"Men in Black 3"
Action,"The Sum of All Fears"
Action,"Minority Report"
Action,"Spy Game"
Action,"Allegiant"
Action,"Talladega Nights: The Ballad of Ricky Bobby"
Action,"Salt"
Action,"The Mask of Zorro"
Action,"Loaded Weapon 1"
Action,"Snowpiercer"
Action,"Lost in Space"
Action,"The Bourne Legacy"
Action,"Bangkok Dangerous"
Action,"The River Wild"
Action,"Lara Croft: Tomb Raider"
Action,"The Great Raid"
Action,'I
Action,"Dark Angel            "
Action,"The Newton Boys"
Action,"Enemy of the State"
